check_id,severity,ID,summary,suggested_fix
self_duplicate,data_loss,ART-20260609175227016441,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016469,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016496,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016523,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016551,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016604,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016658,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016683,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016711,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016869,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016907,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227016939,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389209,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389277,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389355,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389399,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389420,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389443,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389464,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389488,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389508,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
self_duplicate,data_loss,ART-20260609175227389527,"Articles flagged as a duplicate of THEMSELVES. Each is suppressed from the newsletter and never summarized or scored, and points at no canonical.",dedup.py: Layers 1a (line ~288) and 1b (line ~296) lack the self-match guard that Layer 2 (line ~308) already has. Add `if cached.get('id') == article_id: continue` to both.
